,Age,gender,number,ID1,ID2,satisfaction,partnerliking,mutuality,relationship length,commitment,honesty,love of learning,partnerIT,partnerOC,selfIT,extroversion,agreeableness,conscientiousness,stability,openness,ID3,ID4,satisfaction2,partnerliking2,mutuality2,length2,commitment2,honesty2,love of learning2,partnerIT2,selfIT2,extroversion2,agreeableness2,conscientiousness2,stability2,openness2,age2,gender2,extroversiondiff,agreeablenessdiff,conscientiousnessdiff,stabilitydiff,opennessdiff,satisfactiondiff
131,55-64,Male,72,5d7f598628843a00181eb444,5c72f9bf8711bf000139c5ee,4.25,7,6.8,6,7,5.8,5,6,6,5.666666667,5.5,6,5.5,4,5,5c72f9bf8711bf000139c5ee,5d7f598628843a00181eb444,3.25,5.2,6,6,6.2,6,5,5,5.5,7,6.5,4,5,4.5,55-64,Female,-1.5,-0.5,1.5,-1,0.5,1
132,55-64,Male,73,5f970ff3eff5040736b63117,5d8b485caa868c001a4417d5,5.5,7,7,6,7,4.5,5.333333333,6,6,4.666666667,3.5,4.5,5.5,5,4,5d8b485caa868c001a4417d5,5f970ff3eff5040736b63117,5.5,6.8,6.6,6,7,5.4,7,5,5.666666667,5.5,6.5,6.5,6,4,55-64,Female,-2,-2,-1,-1,0,0
133,25-34,Male,74,5cf28015fb05610001de261e,5cef11e2b04fdd0016b177ce,5.5,7,7,6,7,6.5,6.666666667,7,7,6.333333333,2,6.5,7,7,3,5cef11e2b04fdd0016b177ce,5cf28015fb05610001de261e,5.5,7,7,6,7,6.5,7,7,6.333333333,6.5,4,5.5,5.5,4,25-34,Female,-4.5,2.5,1.5,1.5,-1,0
134,35-44,Male,75,5f21294e789a0649b25eff23,5f69c3f4ab3d0d026b25ae23,4.5,5.8,6.2,6,7,5.4,5.666666667,6,5,5.5,6,4,4.5,5.5,4.5,5f69c3f4ab3d0d026b25ae23,5f21294e789a0649b25eff23,5.25,6.8,6.8,6,7,6.7,7,7,6.166666667,2.5,6,4.5,2,6,45-54,Female,3.5,-2,0,3.5,-1.5,-0.75
135,25-34,Male,76,5f232870e0d0d00acbc44967,5efc9190d8b4ba050a97f67d,3.25,6.6,4.2,6,6.4,5.6,7,5,6,5.333333333,4.5,5.5,5.5,3,3.5,5efc9190d8b4ba050a97f67d,5f232870e0d0d00acbc44967,4.5,6.4,5.6,6,7,5.5,7,7,5.666666667,2,4.5,6.5,2.5,6.5,25-34,Female,2.5,1,-1,0.5,-3,-1.25
136,25-34,Female,77,6352fb64b16cb5ae7fa86ae7,60b610d8c3c4f177c8337729,4.5,6.4,6.2,6,6.2,4.4,4.666666667,6,6,5.333333333,1.5,4,6.5,6,2,60b610d8c3c4f177c8337729,6352fb64b16cb5ae7fa86ae7,4.75,6.6,6.2,6,7,4.7,4.666666667,6,5,1,4,5,5.5,2,35-44,Male,0.5,0,1.5,0.5,0,-0.25
137,25-34,Male,83,60e586d3487509a26a700e3f,60d8d3832eca72602139cfdd,5.25,6.4,6.2,5,7,5.6,5.666666667,6,7,4.833333333,4.5,6,5.5,5,6,60d8d3832eca72602139cfdd,60e586d3487509a26a700e3f,5.25,7,6.6,4,5.8,6.7,6.333333333,6,5.5,3.5,5,5,2,4.5,18-24,Female,1,1,0.5,3,1.5,0
138,35-44,Female,88,56a346dddbe850000cfd3116,6315fcaec8a4fe59568056bb,5.25,6.8,7,6,7,5.9,6,5,5,5.333333333,5.5,5,6,3,4,6315fcaec8a4fe59568056bb,56a346dddbe850000cfd3116,2.75,5.4,3.6,5,6,4.8,5.666666667,5,4.666666667,5,3.5,3.5,4,4,35-44,Male,0.5,1.5,2.5,-1,0,2.5
139,35-44,Female,89,6105bc993a9e157adee5063c,6105b6a9a504f5250154607d,4.75,7,5.4,6,7,6.6,6.333333333,7,1,4.833333333,3,7,4,5,3.5,6105b6a9a504f5250154607d,6105bc993a9e157adee5063c,5.25,7,7,6,7,6,6,6,5.333333333,4,4,5,5,4.5,35-44,Male,-1,3,-1,0,-1,-0.5
140,35-44,Male,90,5847e60f73170700013697c6,604ce6075c751bc1e1a11dd5,2.5,3.8,4.8,6,4.4,4.2,5.333333333,3,5,5.666666667,1.5,5.5,2.5,6.5,4.5,604ce6075c751bc1e1a11dd5,5847e60f73170700013697c6,5,7,7,6,7,4.3,6,5,4,3,3,5,3,5,35-44,Female,-1.5,2.5,-2.5,3.5,-0.5,-2.5
